user,rule_score,ml_score,hybrid_score,risk_level,component_scores_dict
AJF0370,34.339113055690596,64.29121607618148,46.319954263886956,MEDIUM,"{'after_hours': 4.339113055690595, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
IBB0359,36.130740946611006,60.65273763592264,45.93953962233566,MEDIUM,"{'after_hours': 4.212954138233388, 'weekend': 0.0, 'file_anomaly': 1.9177868083776173, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
EIS0041,35.61479722615504,59.07483452900152,44.998812147293634,MEDIUM,"{'after_hours': 4.333513221802482, 'weekend': 0.0, 'file_anomaly': 1.2812840043525586, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
MPM0220,34.484377292063954,60.72249811764871,44.97962562229786,MEDIUM,"{'after_hours': 4.484377292063957, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
HDS0367,35.822775482086215,58.39537614900957,44.85181574885556,MEDIUM,"{'after_hours': 4.48396162418839, 'weekend': 0.0, 'file_anomaly': 1.338813857897827, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BSS0369,34.28274428274428,59.51369208667897,44.37512340431816,MEDIUM,"{'after_hours': 4.282744282744282, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
CCA0046,36.32348232196655,56.25550669203926,44.29629206999564,MEDIUM,"{'after_hours': 4.973661106233537, 'weekend': 0.0, 'file_anomaly': 1.3498212157330136, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BAL0044,34.641635664722514,57.665349070383684,43.85112102698699,MEDIUM,"{'after_hours': 4.248532216446654, 'weekend': 0.0, 'file_anomaly': 0.3931034482758622, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
GTD0219,34.89795918367347,56.856788902769765,43.68149107131199,MEDIUM,"{'after_hours': 4.8979591836734695, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
MOS0047,34.21384544126555,56.43339340563176,43.101664627012035,MEDIUM,"{'after_hours': 4.213845441265543, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
DLM0051,30.07702568957356,61.608118793820296,42.68946293127226,MEDIUM,"{'after_hours': 0.07702568957356183, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
WPR0368,34.67028309883031,53.691296836393555,42.278688593855605,MEDIUM,"{'after_hours': 4.670283098830311, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JGT0221,35.00100381449508,52.07423151068833,41.830294892972375,MEDIUM,"{'after_hours': 5.001003814495081, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BBS0039,35.120220033714844,51.81602347484372,41.79854141016639,MEDIUM,"{'after_hours': 5.120220033714844, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
MSO0222,35.20743034055727,51.66860823867702,41.79190149980517,MEDIUM,"{'after_hours': 5.207430340557275, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JTM0223,33.98104670024759,53.40158925786332,41.74926372329388,MEDIUM,"{'after_hours': 3.9810467002475884, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JLM0364,35.00402900886382,51.63503986579542,41.65643335163646,MEDIUM,"{'after_hours': 5.004029008863819, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
KJP0371,35.04177567727234,51.57447979221791,41.65485732325057,MEDIUM,"{'after_hours': 5.041775677272343, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
LBC0356,34.19664360994971,52.64196441372852,41.57477193146124,MEDIUM,"{'after_hours': 4.196643609949712, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JRS0362,34.98220037294457,51.35209311845169,41.53015747114742,MEDIUM,"{'after_hours': 4.9822003729445665, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JCC0225,34.91764705882353,51.352893914811204,41.4917458012186,MEDIUM,"{'after_hours': 4.917647058823529, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
MVH0373,34.90354846391998,51.03400233615836,41.355730012815336,MEDIUM,"{'after_hours': 4.903548463919981, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
CSC0217,34.79783348028719,51.153499115006326,41.34009973417484,MEDIUM,"{'after_hours': 4.797833480287189, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
UIR0043,34.985602632661454,50.83652180206002,41.32597030042088,MEDIUM,"{'after_hours': 4.985602632661456, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
DFR0218,34.80688369673588,50.90593162445172,41.246502867822215,MEDIUM,"{'after_hours': 4.806883696735879, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
HWY0038,34.838202541595706,50.759181057845794,41.206593948095744,MEDIUM,"{'after_hours': 4.838202541595703, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
KRV0372,35.064664163537756,50.35673411045627,41.18149214230516,MEDIUM,"{'after_hours': 5.064664163537755, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
SAK0375,34.93718279390964,50.35944544679894,41.10608785506536,MEDIUM,"{'after_hours': 4.937182793909644, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
MSH0040,35.05882352941177,50.01803920601002,41.042509800051064,MEDIUM,"{'after_hours': 5.0588235294117645, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
TSM0363,35.02294833466672,49.99905056810474,41.01338922804193,MEDIUM,"{'after_hours': 5.022948334666722, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
SOB0360,34.84467944481163,50.1741698998169,40.97647562681374,MEDIUM,"{'after_hours': 4.844679444811632, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
QNP0216,34.8492829967808,50.104873706676514,40.951519280739085,MEDIUM,"{'after_hours': 4.8492829967808015, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
DMG0358,34.427448398714326,50.73224889403074,40.94936859684089,MEDIUM,"{'after_hours': 4.427448398714324, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
CBB0365,34.11403381991617,51.18562086957992,40.94266863978167,MEDIUM,"{'after_hours': 4.114033819916173, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BMG0917,32.69534679543459,53.26703143679858,40.924020651980186,MEDIUM,"{'after_hours': 2.6953467954345918, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BKW0374,34.79338127003379,49.61825871139601,40.72333224657868,MEDIUM,"{'after_hours': 4.793381270033787, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
WDD0366,34.26531196967359,50.377134515033376,40.71004098781751,MEDIUM,"{'after_hours': 4.265311969673594, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
MNS0224,35.02934931934557,49.1594816918881,40.68140226836258,MEDIUM,"{'after_hours': 5.029349319345572, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
LBH0942,30.0,56.68910520548211,40.675642082192844,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
HSB0196,30.0,56.64359047044473,40.6574361881779,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JAV0361,35.05695341720504,48.67733170111334,40.50510473076836,MEDIUM,"{'after_hours': 5.056953417205032, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BAJ0654,34.223771983020015,49.84458257488912,40.47209621976766,MEDIUM,"{'after_hours': 4.223771983020011, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BJM0111,30.0,55.85000640855746,40.340002563422985,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
HPH0075,30.0,55.76591441190853,40.30636576476341,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
KSP0357,34.808590102707754,48.38686008160038,40.2398980942648,MEDIUM,"{'after_hours': 4.80859010270775, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
KCF0045,34.74396953025815,48.35621334534015,40.188867056290945,MEDIUM,"{'after_hours': 4.743969530258147, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
ACC0042,34.90368834758573,48.07695652834278,40.17299561988855,MEDIUM,"{'after_hours': 4.90368834758573, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
HCS0003,30.0,55.32600158853849,40.1304006354154,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
CLB0774,30.149833518312988,54.924136905720545,40.059554873276014,MEDIUM,"{'after_hours': 0.14983351831298555, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
SAA0999,32.36787100627053,50.84206192624494,39.7575473742603,MEDIUM,"{'after_hours': 2.367871006270529, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JDF0593,33.23821339950372,49.181685724706746,39.61560232958493,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 3.238213399503722, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
JDC0030,32.25169441887708,50.583770333083564,39.584524784559676,MEDIUM,"{'after_hours': 2.251694418877081, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
AVM0947,30.0,53.73809924670646,39.49523969868258,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
THR0873,30.0,53.39780672769907,39.359122691079634,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
MOH0273,30.0,53.17477879232797,39.26991151693119,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
AOK0844,32.490824322983826,49.12421768325521,39.14418166709238,MEDIUM,"{'after_hours': 2.4908243229838307, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BRB0355,36.45365168539326,42.70211571934289,38.953037298973115,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 6.45365168539326, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
RAW0915,35.85698064207672,43.39498661833561,38.87218303258028,MEDIUM,"{'after_hours': 2.2839958926213875, 'weekend': 0.0, 'file_anomaly': 3.572984749455337, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
IRM0931,30.0,52.01676130612445,38.80670452244978,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
OBH0499,31.515151515151516,49.71863278571102,38.79654402337532,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 1.515151515151516, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
BJP0134,30.0,51.67827041953012,38.67130816781205,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
RSC0089,32.884393063583815,47.33871463815716,38.66612169341315,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 2.8843930635838144, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
WIF0691,30.74074074074074,50.021706562189586,38.453127069320274,MEDIUM,"{'after_hours': 0.7407407407407408, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
AIB0948,30.0,50.291652461679845,38.11666098467194,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
XWD0923,32.510259917920656,46.50369221585973,38.10763283709629,MEDIUM,"{'after_hours': 2.5102599179206564, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
QRM0739,30.0,49.68584046901111,37.87433618760444,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
ATE0869,30.0,49.596219897873,37.838487959149205,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
ABC0174,34.049235993208825,43.30382400357814,37.75107119735655,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 4.049235993208828, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
HDH0928,34.11764705882353,43.14971680067643,37.73047495556469,MEDIUM,"{'after_hours': 4.117647058823529, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
DBB0384,30.0,49.16713574994612,37.66685429997845,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.0, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
IIW0249,30.983086680761097,47.442272104722605,37.5667608503457,MEDIUM,"{'after_hours': 0.0, 'weekend': 0.0, 'file_anomaly': 0.9830866807610983, 'usb': 0.0, 'email': 15, 'web': 0.0, 'deviation': 15}"
